Season,Year,City,Name,Sex,NOC,Discipline,Event,Medal
Summer,1896,Athens,RÖSTEL Richard,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,SCHUFT Gustav,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,WEINGÄRTNER Hermann,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,FLATOW Gustav,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,SCHUHMANN Carl,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,PERSAKIS Petros,Male,GRE,Artistic Gymnastics,Parallel Bars Teams - Men,Silver
Summer,1896,Athens,XENAKIS Thomas,Male,GRE,Artistic Gymnastics,Parallel Bars Teams - Men,Silver
Summer,1896,Athens,ANDRIAKOPOULOS Nikolas,Male,GRE,Artistic Gymnastics,Parallel Bars Teams - Men,Silver
Summer,1896,Athens,ZUTTER Louis,Male,SUI,Artistic Gymnastics,Pommelled Horse - Men,Gold
Summer,1896,Athens,WEINGÄRTNER Hermann,Male,GER,Artistic Gymnastics,Pommelled Horse - Men,Silver
Summer,1896,Athens,PERSAKIS Petros,Male,GRE,Artistic Gymnastics,Rings - Men,Bronze
Summer,1896,Athens,MITROPOULOS Ioannis,Male,GRE,Artistic Gymnastics,Rings - Men,Gold
Summer,1896,Athens,WEINGÄRTNER Hermann,Male,GER,Artistic Gymnastics,Rings - Men,Silver
Summer,1896,Athens,HOFMANN Fritz,Male,GER,Artistic Gymnastics,Rope Climbing - Men,Bronze
Summer,1896,Athens,ANDRIAKOPOULOS Nikolaos,Male,GRE,Artistic Gymnastics,Rope Climbing - Men,Gold
Summer,1896,Athens,XENAKIS Thomas,Male,GRE,Artistic Gymnastics,Rope Climbing - Men,Silver
Summer,1896,Athens,FRANGOUDIS Ioannis,Male,GRE,Shooting,Free Pistol 30 metres - Men,Bronze
Summer,1896,Athens,PAINE Sumner,Male,USA,Shooting,Free Pistol 30 metres - Men,Gold
Summer,1896,Athens,NIELSEN Holger,Male,DEN,Shooting,Free Pistol 30 metres - Men,Silver
Summer,1896,Athens,JENSEN Viggo,Male,DEN,Shooting,Free Rifle Three Positions 300 metres - Men,Bronze
Summer,1896,Athens,ORFANIDIS Georgios,Male,GRE,Shooting,Free Rifle Three Positions 300 metres - Men,Gold
Summer,1896,Athens,FRANGOUDIS Ioannis,Male,GRE,Shooting,Free Rifle Three Positions 300 metres - Men,Silver
Summer,1896,Athens,DORAKIS Nikolaos,Male,GRE,Shooting,Military Pistol 25 metres - Men,Bronze
Summer,1896,Athens,PAINE John,Male,USA,Shooting,Military Pistol 25 metres - Men,Gold
Summer,1896,Athens,PAINE Sumner,Male,USA,Shooting,Military Pistol 25 metres - Men,Silver
Summer,1896,Athens,TRIKOUPIS Nikolaos,Male,GRE,Shooting,Military Rifle 200 metres - Men,Bronze
Summer,1896,Athens,KARASEVDAS Pantelis,Male,GRE,Shooting,Military Rifle 200 metres - Men,Gold
Summer,1896,Athens,PAVLIDIS Pavlos,Male,GRE,Shooting,Military Rifle 200 metres - Men,Silver
Summer,1896,Athens,NIELSEN Holger,Male,DEN,Shooting,Muzzle-Loading Pistol 25 metres - Men,Bronze
Summer,1896,Athens,FRANGOUDIS Ioannis,Male,GRE,Shooting,Muzzle-Loading Pistol 25 metres - Men,Gold
Summer,1896,Athens,ORFANIDIS Georgios,Male,GRE,Shooting,Muzzle-Loading Pistol 25 metres - Men,Silver
Summer,1896,Athens,FLACK Teddy,Male,AUS,Tennis,Doubles - Men,Bronze
Summer,1896,Athens,ROBERTSON George Stuart,Male,GBR,Tennis,Doubles - Men,Bronze
Summer,1896,Athens,BOLAND John Pius,Male,GBR,Tennis,Doubles - Men,Gold
Summer,1896,Athens,TRAUN Fritz,Male,GER,Tennis,Doubles - Men,Gold
Summer,1896,Athens,CASDAGLI Demetrius,Male,GRE,Tennis,Doubles - Men,Silver
Summer,1896,Athens,PETROKOKKINOS Dimitrios,Male,GRE,Tennis,Doubles - Men,Silver
Summer,1896,Athens,PASPATIS Konstantinos,Male,GRE,Tennis,Singles - Men,Bronze
Summer,1896,Athens,TAPAVICZA Momcsilló,Male,HUN,Tennis,Singles - Men,Bronze
Summer,1896,Athens,BOLAND John Pius,Male,GBR,Tennis,Singles - Men,Gold
Summer,1896,Athens,CASDAGLI Demetrius,Male,GRE,Tennis,Singles - Men,Silver
Summer,1896,Athens,NIKOLOPOULOS Alexandros,Male,GRE,Weightlifting,Unlimited One Hand - Men,Bronze
Summer,1896,Athens,ELLIOT Launceston,Male,GBR,Weightlifting,Unlimited One Hand - Men,Gold
Summer,1896,Athens,JENSEN Viggo,Male,DEN,Weightlifting,Unlimited One Hand - Men,Silver
Summer,1896,Athens,VERSIS Sotirios,Male,GRE,Weightlifting,Unlimited Two Hands - Men,Bronze
Summer,1896,Athens,JENSEN Viggo,Male,DEN,Weightlifting,Unlimited Two Hands - Men,Gold
Summer,1896,Athens,ELLIOT Launceston,Male,GBR,Weightlifting,Unlimited Two Hands - Men,Silver
Summer,1896,Athens,KHRISTOPOULOS Stefanos,Male,GRE,Wrestling,Unlimited Class - Men,Bronze
Summer,1896,Athens,SCHUHMANN Carl,Male,GER,Wrestling,Unlimited Class - Men,Gold
Summer,1896,Athens,TSITAS Georgios,Male,GRE,Wrestling,Unlimited Class - Men,Silver
Summer,1900,Paris,HALMAY Zoltán,Male,HUN,Swimming,1000 metres Freestyle - Men,Bronze
