Year,Position,Name,NOC,Time,Record
2000,-,Richard Sam Bera,INA,51.52,
2000,-,Yoav Bruck,ISR,51.62,
2000,-,Zeljko Panic,BIH,52.4,
2000,-,Francisco Sanchez,VEN,52.43,
2000,-,Rolandas Gimbutis,LTU,50.46,
2000,-,Torsten Spanneberg,GER,50.56,
2000,-,Javier Botello Garcia,ESP,50.87,
2000,-,Craig Hutchison,CAN,50.9,
2000,-,Marcos Hernandez,CUB,50.95,
2000,-,Thierry Wouters,BEL,51.07,
2000,-,Jere Haard,FIN,51.11,
2000,-,Johan Kenkhuis,NED,49.93,
2000,-,Stefan Nystrand,SWE,50.19,
2000,-,Romain Barnier,FRA,50.32,
2000,-,Pavlo Khnykin,UKR,50.63,
2000,-,Karel Novy,SUI,50.19,
2000,-,Yannick Lupien,CAN,50.62,
2000,-,Oleg Rykhlevich,BLR,50.96,
2000,-,Bartosz Kizierowski,POL,49.84,
1996,1, Aleksandr Popov,RUS,48.74,
1996,2, Gary Hall jr.,USA,48.81,
1996,3, Gustavo Borges,BRA,49.02,
1996,4, Pieter van den Hoogenband,NED,49.13,
1996,5, Fernando Scherer,BRA,49.57,
1996,6, Pavlo Khnykin,UKR,49.65,
1996,7, Ricardo Busquets,PUR,49.68,
1996,8, Francisco Sanchez,VEN,49.84,
1996,9, Jon Olsen,USA,49.8,
1996,10, Christian Tröger,GER,49.9,
1996,11, Björn Zikarsky,GER,49.91,
1996,12, Sion Brinn,JAM,50.09,
1996,13, Christopher Fydler,AUS,50.31,
1996,14, Rostyslav Svanidze,UKR,50.43,
1996,15, Stephen Clarke,CAN,50.45,
1996,16, Bartosz Kizierowski,POL,50.51,
1996,-,Darrick Bollinger,GUM,52.68,
1996,-,Kenny Roberts,SEY,52.89,
1996,-,Diego Mularoni,SMR,57.11,
1996,-,Khuwaiter Al-Dhaheri,UAE,57.7,
1996,-,Ali Al-Gazali,YEM,dns,
1996,-,Raimundas Mazuolis,LTU,50.27,
1996,-,Janko Vojkovic,BIH,51.28,
1996,-,Georgios Yiziotis,GRE,52.04,
1996,-,Koh Yun-ho,KOR,52.56,
1996,-,Nikola Kalabic,YUG,52.98,
1996,-,Diego Perdomo Cuenca,COL,53.01,
1996,-,Sng Ju Wei,SIN,53.5,
1996,-,Juan Bocanegra Schall,GUA,54.05,
1996,-,Sergey Ashikhmin,KGZ,51.07,
1996,-,Giovanni Linscheer,SUR,51.82,
1996,-,Kai Yien Li,HKG,51.84,
1996,-,Jose Osaza Chu,PAN,51.86,
1996,-,Oleg Tsvetkovskiy,UZB,52.39,
1996,-,Stavros Mikhaelides,CYP,52.65,
1996,-,Maxim Cazmirciuc,MDA,53.18,
1996,-,Huang Chih-yung,TPE,53.47,
1996,-,Indrek Sei,EST,51.19,
1996,-,Juan Benavides,ESP,51.2,
1996,-,Felipe Delgado Martillo,ECU,51.38,
1996,-,Zhao Lifeng,CHN,5170,
1996,-,Marijan Kanjer,CRO,51.76,
1996,-,Kalle Varonen,FIN,52,
1996,-,Tamer Zinhom Muhammad,EGY,52.16,
1996,-,Oleg Rykhlevich,BLR,50.42,
1996,-,Aleksey Yegorov,KAZ,50.49,
1996,-,Nicolas Gruson,FRA,50.71,
1996,-,Brendon Dedekind,RSA,50.95,
