Team,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,AVG,Continent
Jordan,300000,348000,240000,300000,300000,561254,848515,1502959,2162807,3262054,4998564,7261539,10203134,2483755.846,Asia
Kazakhstan,,,,,,6693230,9982014,13106377,14966718,16398131,15032140,16252279,18776707,13900949.5,Asia
Kenya,4132379.922,3813440.409,3737854.372,4424171.017,5084069.237,6077000,8115000,11247182,16331401,23354000,30508000,42030676,53771296,16355882.3,Africa
Kiribati,,,,,,33448,40732,48899,57536,71341,91985,102927,119449,70789.625,Oceania
Kuwait,,103226,,,,144774,292229,747502,1369769,2142011,1973572,2991884,4270571,1559504.222,Asia
Kyrgyzstan,,,,,,1738961,2171285,2963792,3622728,4382486,4851054,5422293,6524195,3959599.25,Asia
Laos,1500000,1387000,,944000,1012000,1885984,2309365,2844851,3293159,4210452,5497733,6249165,7275560,3200772.417,Asia
Latvia,,2552000,1845000,1900000,1951000,1936498,2115183,2361159,2524543,2663590,2376178,2118861,1886198,2185850.833,Europe
Lebanon,500000,649000,,,,1364030,1786235,2383029,3087000,3150000,3581000,4953061,6825445,2827880,Asia
Lesotho,294014.1749,346108.4479,403670.5411,496998.9971,606936.0533,734000,849074,1067136,1345000,1721000,2068000,1995581,2142249,1082289.863,Africa
Liberia,454082.6899,486888.6515,516903.4838,599887.5956,689365.3203,824000,1052000,1396565,1848979,2116666,2695000,3891356,5057681,1663798.057,Africa
Libya,479592.3136,551331.3428,619241.045,691836.7884,792330.0689,1029000,1349000,1999162,3065365,4139825,5115450,6197663,6871292,2530852.966,Africa
Liechtenstein,,11000,12000,12000,,13500,16426,21103,25074,28796,32204,35994,38128,22384.09091,Europe
Lithuania,,2916000,2230000,2422000,2442000,2553159,2764864,3137562,3435289,3694836,3654387,3123816,2722289,2924683.5,Europe
Luxembourg,236000,260000,269000,300000,301000,295587,313969,339174,364400,382966,438777,507889,625978,356518.4615,Europe
Madagascar,2820553.255,2709740.412,2656030.765,3082432.135,3542199.959,4234000,5371000,6765644,8691000,11633000,15742000,21151640,27691018,8930019.887,Africa
Malawi,2038521.987,1881187.661,1807280.263,2097422.528,2410268.796,2881000,3529000,4508000,6129035,9536000,11560000,14539612,19129952,6311329.249,Africa
Malaysia,2232000,2893000,3545000,4413000,5434000,6433799,8428493,10910216,13764352,17507000,21804000,28208035,32365999,12149145.69,Asia
Maldives,,72000,70000,79000,86000,79293,92247,114572,153000,217000,300000,365734,540544,180782.5,Asia
Mali,1780382.781,1986208.981,2150949.739,2471779.991,2812575.996,3329000,4015000,5546000,6758000,8085000,10049000,15049353,20250833,6483391.038,Africa
Malta,,229000,225000,241000,270000,311973,328517,325569,364001,359107,389947,414253,441543,324992.5,Europe
Marshall Islands,,,,73000,,10904,15120,21714,30681,45830,53064,56366,59190,40652.11111,Oceania
Mauritania,373849.5588,408891.9258,434098.5568,503789.0972,578933.0117,692000,892000,1289420,1545000,1925000,2501000,3494195,4649658,1483679.627,Africa
Mauritius,371000,369000,376000,393000,419000,481270,663229,829511,963701,1062000,1186000,1247955,1271768,741033.3846,Africa
Mexico,13607000,15000000,14900000,17175000,20393000,28485180,38578505,52775158,68347479,84913652,99926620,114092963,128932753,53625177.69,North America
Micronesia (country),,,,,,30715,41777,56822,77080,108600,107754,,,70458,Oceania
Moldova,,,,,,2336432,2998981,3594517,3996278,4397798,4430654,4086081,4033963,3734338,Europe
Monaco,,23000,22000,25000,24000,18125,20757,23752,26551,29972,31693,35612,39242,26642,Europe
Mongolia,700000,725000,,,,778555,954652,1247600,1662380,2218000,2664000,2719896,3278290,1694837.3,Asia
Montenegro,,516000,,,,395587,461487,514472,560000,583202,732302,624275,628066,557265.6667,Europe
Morocco,4689745.641,5512131.635,5797281.042,6472490.191,7712782.503,8953000,11626000,15909275,19487272,24735000,30184000,32343389,36910560,16179455.92,Africa
Mozambique,4475121.821,4129729.288,3967482.026,4604424.863,5291209.294,6324595,7528595,9304375,12102619,12667000,18125000,23531574,31255435,11023627.71,Africa
Myanmar,10174000,11942000,13096000,14515000,16594000,19487657,22839000,27393000,33373316,39243000,44301000,50600818,54409800,27536045.46,Asia
Namibia,194273.6715,228695.6365,266730.5347,328398.4555,401040.8526,485000,599000,764683,1058021,1471314,1893000,2118874,2540905,949995.0885,Africa
Nauru,,,2000,3000,3000,3432,4475,6700,7710,9488,11845,10005,10824,6589,Oceania
Nepal,5283000,5639000,,5600000,5600000,8989915,10034723,11918678,14665000,18918000,24818000,27013212,29136808,13968028,Asia
Netherlands,5142000,5922000,6848000,7884000,8879000,10113527,11486000,13032335,14143901,14951510,15907853,16682917,17134872,11394455,Europe
New Zealand,807000,1045000,1241000,1493000,1636000,1908310,2371746,2828050,3170150,3414000,3802000,4370062,4822233,2531427,Oceania
Nicaragua,478000,553000,640000,680000,830000,1097916,1492698,2052544,2805321,3685000,4935000,5824065,6624554,2438315.231,North America
Niger,1180860.673,1317377.42,1426643.744,1639438.336,1865475.458,2208000,3053000,4840501,6093000,7842000,10951000,16464025,24206644,6391381.972,Africa
Nigeria,17429161.72,19083332.08,20911381.7,24494375.17,28411221.21,33960000,42356000,55586000,74821000,96604000,123179000,158503197,206139589,69344481.38,Africa
North Korea,,4897000,,,,9471140,10391909,13911902,17113626,20018546,21263000,24548836,25778816,16377197.22,Asia
North Macedonia,,,,,,1224627,1366198,1574407,1792000,1861361,2014512,2070741,2083374,1748402.5,Europe
Norway,2230000,2384000,2635000,2807000,2973000,3265126,3581239,3877386,4085620,4242006,4492400,4885878,5421241,3606145.846,Europe
Oman,400000,444000,,,,488588,599292,778536,1174857,1772974,2534000,3041434,5106626,1634030.7,Asia
Pakistan,,20008000,22812000,,,39448232,50386898,65705964,85219117,114607000,146405000,179424641,220892340,94490919.2,Asia
Palau,,,,,,7251,9482,12005,13311,15207,18766,17955,18094,14008.875,Oceania
Panama,263000,326000,487000,515000,697000,892502,1147610,1531038,1960000,2393000,2900000,3642687,4314767,1620738.769,North America
Papua New Guinea,,781000,483000,520000,,1412466,1746986,2288056,2991217,3824787,4934000,7310507,8947024,3203549.364,Oceania
Paraguay,440000,554000,699000,880000,1111000,1475669,1909538,2476785,3196000,4244000,5592000,6248020,7132538,2766042.308,South America
Peru,3648000,4137000,4690000,5480000,6440000,7632500,9931000,13192800,17295298,21600000,26087000,29027674,32971854,14010240.46,South America
Philippines,7324000,8861000,10725000,13194000,16585000,21131264,28528939,38603696,50940182,65088000,81222000,93966780,109581078,41980841.46,Asia
Poland,24750000,26644000,23968000,28204000,30021000,24824000,29589842,32526000,35578016,38119408,38654164,38329781,37846611,31465755.54,Europe
Portugal,5404000,5884000,6029000,6784000,7675000,8442750,9036700,9044200,9777800,9922689,10335597,10596058,10196709,8394500.231,Europe
Qatar,,17897,,,,25101,46000,115000,237000,446000,627000,1856327,2881053,694597.5556,Asia
Romania,11000000,11866000,12340000,14141000,15907000,16311000,18403414,20252541,22130036,22865945,22451921,20471864,19237691,17490647.08,Europe
Russia,,,,,,101936816,119631633,130245476,139038849,147973000,146710000,143479274,145934462,134368688.8,Asia
Rwanda,1529775.958,1411706.95,1356244.335,1573976.919,1808747.357,2162000,2887000,3769171,5138000,6982000,8278000,10039338,12952218,4606782.963,Africa
Saint Kitts and Nevis,46000,43000,37000,36000,38000,44341,51112,46116,44186,42000,38819,49016,53199,43753,North America
Saint Lucia,50000,49000,52000,60000,70000,79050,87687,102704,122477,138000,153000,174085,183627,101663.8462,North America
Saint Vincent and the Grenadines,48000,42000,44000,48000,62000,66452,81021,87510,98139,106524,108000,108255,110940,77757,North America
Samoa,33000,38000,36000,56000,68000,81858,110043,142331,155177,172000,197000,185949,198414,113367.0769,Oceania
San Marino,,11000,13000,13000,15000,12780,15406,19189,21463,23469,26937,31229,33931,19700.33333,Europe
Sao Tome and Principe,40000,59000,56000,60000,61000,59730,63403,73631,94071,119453,159883,180371,219159,95823.15385,Africa
Saudi Arabia,2500000,2676000,,,,3859801,4718301,6109051,9999161,16060761,23147000,27421461,34813871,13130540.7,Asia
Senegal,1401374.127,1502618.739,1595249.465,1851352.13,2127495.157,2543000,3277000,4317891,5787000,8001000,10678000,12678148,16743927,5577235.048,Africa
Serbia,2494000,2912000,,,,6710261,7470936,8166726,8955000,9347973,10117908,8991254,8737371,7390342.9,Europe
Seychelles,19000,23000,25000,27000,32000,32903,41662,54106,66489,73439,79326,91264,98347,51041.23077,Africa
Sierra Leone,1071282.463,1148679.052,1219490.743,1415268.793,1626366.727,1944000,2256000,2789306,3335000,4226000,4816000,6415634,7976983,3095385.444,Africa
Singapore,215000,323000,391000,596000,751000,1022100,1646400,2074507,2413900,3047100,4036753,5131172,5850342,2115251.846,Asia
Slovakia,,,,,,3463446,3994270,4523873,4965958,5262616,5400320,5404294,5459642,4809302.375,Europe
Slovenia,,,,,,1467759,1557756,1675739,1833000,1991210,2010557,2043337,2078938,1832287,Europe
Solomon Islands,,150000,151000,94000,95000,106647,126363,163000,233000,334524,466194,527861,686884,261206.0833,Oceania
Somalia,1551352.163,1598526.079,1630785.875,1801402.159,1950814.613,2264000,2819000,3666949,5794000,6692000,7386000,12043883,15893222,5007071.915,Africa
South Africa,4971084.352,5851875.303,6825114.166,8403075.987,10261853.25,12410204.08,16003000,22739921,29251588,38476000,45064000,51216964,59308690,23906413.09,Africa
South Korea,9896000,10096000,11804000,13900000,15627000,20845771,24784140,32241000,38124000,42869000,46839000,49545636,51269185,28295440.92,Asia
Spain,18566000,19858000,21232000,23445000,25757000,28062963,30641187,33876479,37488360,39350769,40016081,46931015,46754778,31690740.92,Europe
Sri Lanka,3912000,4668000,5250000,5707000,6134000,7533097,9913000,12619000,15056000,17365000,19436000,20261737,21413249,11482160.23,Asia
Suriname,,95000,136000,153000,184000,208068,284000,372000,354000,395000,432000,529131,586632,310735.9167,South America
Sweden,5117000,5449000,5876000,6131000,6356000,7014005,7480395,8042803,8310473,8559000,8872000,9390168,10099265,7438239.154,Europe
Switzerland,3300000,3735000,3877000,4051000,4226000,4694000,5362000,6267000,6385229,6836626,7266920,7808675,8654622,5574159.385,Europe
Syria,1750000,1994000,,,,3495000,4532557,6258053,8773582,12436046,16305659,21362529,17500658,9440808.4,Africa
Tajikistan,,,,,,1530047,2080556,2938516,3966000,5272000,6230000,7527394,9537645,4885269.75,Asia
Tanzania,4995170.291,4798921.907,4798921.907,5569344.789,6400054.248,7650000,10072000,13806869,18665000,25214000,33712000,44346525,59734218,18443309.63,Africa
Thailand,7320000,8305000,9802000,12392000,15513000,20041628,27512750,37090871,47025764,55196722,61862928,67195028,69799978,33773666.85,Asia
Timor,348000,376000,398000,472000,451000,442000,517000,609000,555000,748000,846599,,,523872.6364,Asia
Togo,717971.4945,769842.543,833695.0607,967537.1535,1111852.561,1329000,1572000,1964128,2481375,3504813,4711655,6421679,8278724,2666482.524,Africa
Tonga,20000,23000,25000,29000,34000,45744,63718,83100,91361,92073,102321,103986,105695,62999.84615,Oceania
Trinidad and Tobago,268000,331000,389000,405000,476000,632000,841150,955000,1090513,1255000,1252000,1328147,1399488,817099.8462,South America
Tunisia,1832637.486,2154005.747,2265435.137,2529290.299,3013966.092,3498612.648,4221000,5098627,6443183,8211000,9568000,10635244,11818619,5483816.955,Africa
