NOC,Year,Efficiency
CAN,2024,1.1373366759270533
POL,2005,1.0049763631036936
POL,2006,0.860445904195031
POL,2007,0.7229911076329498
POL,2008,0.5970530999099244
POL,2009,0.4865228717203658
POL,2010,0.3945422570254242
POL,2011,0.32335573903840387
POL,2012,0.2742228256956796
POL,2013,0.24739549841718822
POL,2014,0.24215973136772173
POL,2015,0.2569348713735582
POL,2016,0.28942027509847956
POL,2017,0.33677542105074765
POL,2018,0.39581799514780447
POL,2019,0.4632242600609835
POL,2020,0.535717258582155
POL,2021,0.6102308212321594
POL,2022,0.684040594770351
POL,2023,0.7548569740840168
POL,2024,0.8208784975059522
UKR,2005,1.89673338820206
UKR,2006,1.6022567559857093
UKR,2007,1.31936757747685
UKR,2008,1.057456015371896
UKR,2009,0.8249409602028344
UKR,2010,0.6288247108874065
UKR,2011,0.4743428773576408
UKR,2012,0.3647339149730975
UKR,2013,0.30114232114847894
UKR,2014,0.28265806259840254
UKR,2015,0.3064834540536143
UKR,2016,0.3682086265968971
UKR,2017,0.46216887216996305
UKR,2018,0.5818522041165162
UKR,2019,0.7203237475482762
UKR,2020,0.8706350094855955
UKR,2021,1.0261902776957044
UKR,2022,1.1810486925148629
UKR,2023,1.3301480962170062
UKR,2024,1.4694447066354472
BIH,2005,1.5264232652191354
BIH,2006,1.3090426032475029
BIH,2007,1.100655826828921
BIH,2008,0.9080651327217466
BIH,2009,0.7373338513166581
BIH,2010,0.5934716192160341
BIH,2011,0.4801904293932968
BIH,2012,0.3997481196399062
BIH,2013,0.352888310668356
BIH,2014,0.33887761050552134
BIH,2015,0.35563290952422255
BIH,2016,0.39992459908652744
BIH,2017,0.4676362116321404
BIH,2018,0.5540577417061474
BIH,2019,0.6541889511216845
BIH,2020,0.7630302114862872
BIH,2021,0.8758415849497547
BIH,2022,0.9883554027675121
BIH,2023,1.0969329798210843
BIH,2024,1.1986616847054579
ARM,2005,0.4116263303800478
ARM,2006,0.40800919611330566
ARM,2007,0.40358236370287387
ARM,2008,0.398436039620381
ARM,2009,0.3926924098308461
ARM,2010,0.3865009611475429
ARM,2011,0.38003206331544953
ARM,2012,0.37346919317689803
ARM,2013,0.36700029534480466
ARM,2014,0.3608088466615015
ARM,2015,0.35506521687196657
ARM,2016,0.3499188927894737
ARM,2017,0.3454920603790419
ARM,2018,0.34187492611229975
ARM,2019,0.3391230171176273
ARM,2020,0.3372565431338598
ARM,2021,0.33626174711505347
ARM,2022,0.33609402983930503
ARM,2023,0.33668251909577906
ARM,2024,0.33793567456707047
CYP,2005,1.5156056093684405
CYP,2006,1.3006224167818803
CYP,2007,1.0945456885243714
CYP,2008,0.9040780270900806
CYP,2009,0.7351867860743444
CYP,2010,0.5927952341505951
CYP,2011,0.4805442090457315
CYP,2012,0.4006403582135514
CYP,2013,0.3537995724068512
CYP,2014,0.3392861244537815
CYP,2015,0.3550401662995326
CYP,2016,0.39787939744092515
CYP,2017,0.4637555364535544
CYP,2018,0.5480431285291343
CYP,2019,0.6458373763850243
CYP,2020,0.7522390027929906
CYP,2021,0.8626073253696775
CYP,2022,0.9727672609897999
CYP,2023,1.0791612915872364
CYP,2024,1.1789429074800928
TTO,2005,2.0778874672503895
TTO,2006,1.7815855152683029
TTO,2007,1.4922225998262415
TTO,2008,1.2192576047875918
TTO,2009,0.9714103875947546
TTO,2010,0.7562037176864735
TTO,2011,0.5795848086559476
TTO,2012,0.4456529594201153
TTO,2013,0.35651066314159996
TTO,2014,0.3122449724625329
TTO,2015,0.3110350280124563
TTO,2016,0.3493715707995606
TTO,2017,0.42236594658041104
TTO,2018,0.524120310803402
TTO,2019,0.6481278802485693
TTO,2020,0.7876722294420042
TTO,2021,0.9361975416579589
TTO,2022,1.0876268646851757
TTO,2023,1.2366120687644782
TTO,2024,1.378706547926615
KOR,2005,1.6132732874874962
KOR,2006,1.360909515944612
KOR,2007,1.1152828862735544
KOR,2008,0.884367029245172
KOR,2009,0.6754670040474555
KOR,2010,0.4948392617239987
KOR,2011,0.3473813422491172
KOR,2012,0.23641271962930954
KOR,2013,0.1635603742413625
KOR,2014,0.12875376811880201
KOR,2015,0.13032484886909002
KOR,2016,0.16520042199733198
KOR,2017,0.22916750137762176
KOR,2018,0.31718765777705404
KOR,2019,0.4237342546249441
KOR,2020,0.5431268210450346
KOR,2021,0.6698394268380394
KOR,2022,0.798764333916628
KOR,2023,0.9254177966038258
KOR,2024,1.0460809982403139
ROU,2005,1.983068526521008
ROU,2006,1.6941572903597542
ROU,2007,1.4127743639174235
ROU,2008,1.1481546975020556
ROU,2009,0.9087765921387096
ROU,2010,0.7019152508537085
ROU,2011,0.5332763308229134
ROU,2012,0.40673519740791386
ROU,2013,0.3241984599124028
ROU,2014,0.2855939009852002
ROU,2015,0.2889841884716877
ROU,2016,0.33078987041022634
ROU,2017,0.40609905928452905
ROU,2018,0.5090356283806359
ROU,2019,0.6331550749859454
ROU,2020,0.7718375128099306
ROU,2021,0.9186502730103556
ROU,2022,1.0676577826871472
ROU,2023,1.2136630303246476
ROU,2024,1.3523722151506061
EGY,2005,1.5362375580449212
EGY,2006,1.3146895055464323
EGY,2007,1.1011550847546272
EGY,2008,0.902543061336198
EGY,2009,0.7250634250199601
EGY,2010,0.5739068174827873
EGY,2011,0.45299257512665614
EGY,2012,0.3648024375514489
EGY,2013,0.3103095760465049
EGY,2014,0.28900450044712134
EGY,2015,0.29901144455467277
EGY,2016,0.33728180480572334
EGY,2017,0.3998457729781135
EGY,2018,0.4820999125252632
EGY,2019,0.5791072809286808
EGY,2020,0.6858877411523465
EGY,2021,0.7976790459241572
EGY,2022,0.9101536522150826
EGY,2023,1.0195814547851765
EGY,2024,1.122934111255029
HKG,2005,1.494895289909504
HKG,2006,1.2768500529748246
HKG,2007,1.0676423802310562
HKG,2008,0.8740914630109455
HKG,2009,0.7022840195119024
HKG,2010,0.5572585512674726
HKG,2011,0.44276011636711976
HKG,2012,0.3610822582879387
HKG,2013,0.313005204238773
HKG,2014,0.29783126793213244
HKG,2015,0.3135104048568791
HKG,2016,0.35684187130624734
HKG,2017,0.4237325875266742
HKG,2018,0.5094895426376342
HKG,2019,0.6091225922306602
HKG,2020,0.7176352162054922
HKG,2021,0.8302839190220179
HKG,2022,0.9427914837663407
HKG,2023,1.0515046465269835
HKG,2024,1.1534923234366459
ISR,2005,1.7867504393234395
ISR,2006,1.5145157366581863
ISR,2007,1.2485291691249127
ISR,2008,0.9974138826113572
ISR,2009,0.7691225856427657
ISR,2010,0.5705234542419833
ISR,2011,0.4070579786093589
ISR,2012,0.2824944669815581
ISR,2013,0.19879270284410566
ISR,2014,0.15608579200473383
ISR,2015,0.15277551629060238
ISR,2016,0.1857285116361176
ISR,2017,0.25055317489170337
ISR,2018,0.34193202726988847
ISR,2019,0.4539816953382805
ISR,2020,0.5806127794096221
ISR,2021,0.7158644382788983
ISR,2022,0.8541930596192202
ISR,2023,0.9907002705273444
ISR,2024,1.1212920582418404
CHN,2005,1.553808532948436
CHN,2006,1.3263002206647265
CHN,2007,1.1063204706992356
CHN,2008,0.9010750723978604
CHN,2009,0.7170922231533086
CHN,2010,0.5598806893757164
CHN,2011,0.4336561652615327
CHN,2012,0.34115477337169176
CHN,2013,0.2835451261524551
CHN,2014,0.2604419554533737
CHN,2015,0.2700158922710971
CHN,2016,0.30918639173607176
CHN,2017,0.3738787740391596
CHN,2018,0.4593224096283606
CHN,2019,0.5603654784989403
CHN,2020,0.6717824682469928
CHN,2021,0.7885533812004228
CHN,2022,0.9060980335570028
CHN,2023,1.0204542559055134
CHN,2024,1.12839460391155
SWE,2005,1.9662842270319008
SWE,2006,1.6878108676903993
SWE,2007,1.4156988288453372
SWE,2008,1.1587979089189053
SWE,2009,0.9252684455670082
SWE,2010,0.7221545873314064
SWE,2011,0.5550319397011032
SWE,2012,0.42775413985233524
SWE,2013,0.34231437505780793
SWE,2014,0.29882802884132875
SWE,2015,0.29563254054137644
SWE,2016,0.3294912228360367
SWE,2017,0.3958801010277315
SWE,2018,0.4893314964584867
SWE,2019,0.6038054601743155
SWE,2020,0.7330603367135926
SWE,2021,0.8709964600909652
SWE,2022,1.011951758997439
SWE,2023,1.150934206108849
SWE,2024,1.2837828377552276
FIN,2005,1.812634193219559
FIN,2006,1.5332629750035456
FIN,2007,1.2606132101992782
FIN,2008,1.0035899703307174
FIN,2009,0.770403769402527
FIN,2010,0.5681405330845775
